Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Percentage of hard mode,Percentage of frequency
2022/1/7,202,slump,80630,1362,1,3,23,39,24,9,1,0.016891976,0.000353251
2022/1/8,203,crank,101503,1763,1,5,23,31,24,14,2,0.017368945,0.00022815
2022/1/9,204,gorge,91477,1913,1,3,13,27,30,22,4,0.02091236,0.000189534
2022/1/10,205,query,107134,2242,1,4,16,30,30,17,2,0.020927063,0.000200505
2022/1/11,206,drink,153880,3017,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901,0.019606187,0.003723656
2022/1/12,207,favor,137586,3073,1,4,15,26,29,21,4,0.022335121,0.000967568
2022/1/13,208,abbey,132726,3345,1.01010101,2.02020202,13.13131313,29.29292929,31.31313131,20.2020202,3.03030303,0.025202296,0.00041252
2022/1/14,209,tangy,169484,3985,1,4,21,30,24,15,5,0.023512544,6.76E-05
2022/1/15,210,panic,205880,4655,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901,0.022610258,0.000725864
2022/1/16,211,solar,209609,4955,1,9,32,32,18,7,1,0.023639252,0.001425374
2022/1/17,212,shire,222197,5640,0.99009901,7.920792079,31.68316832,31.68316832,17.82178218,7.920792079,1.98019802,0.025382881,1.76E-05
2022/1/18,213,proxy,220950,6206,0.99009901,1.98019802,10.89108911,23.76237624,30.69306931,25.74257426,5.940594059,0.028087803,0.000207928
2022/1/19,214,point,280622,7094,1.01010101,16.16161616,37.37373737,28.28282828,12.12121212,4.04040404,1.01010101,0.025279558,0.020950985
2022/1/20,215,robot,243964,6589,0.99009901,7.920792079,28.71287129,33.66336634,19.8019802,7.920792079,0.99009901,0.027008083,0.000741891
2022/1/21,216,prick,273727,7409,1.01010101,8.080808081,30.3030303,33.33333333,19.19191919,7.070707071,1.01010101,0.027067114,0.000104663
2022/1/22,217,wince,241489,6850,0.99009901,2.97029703,16.83168317,32.67326733,28.71287129,14.85148515,2.97029703,0.028365681,0.000240736
2022/1/23,218,crimp,269929,7630,1,5,28,38,20,7,1,0.028266692,4.21E-05
2022/1/24,219,knoll,258038,8317,1,1,11,29,33,21,4,0.032231687,7.73E-05
2022/1/25,220,sugar,276404,8708,1.01010101,6.060606061,25.25252525,34.34343434,23.23232323,9.090909091,1.01010101,0.031504609,0.003047058
2022/1/26,221,whack,302348,10163,1,4,22,37,24,10,2,0.033613584,7.88E-05
2022/1/27,222,mount,331844,11451,1.01010101,9.090909091,29.29292929,33.33333333,19.19191919,7.070707071,1.01010101,0.034507178,0.001245091
