Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/1/7,202,slump,80630,1362,1,3,23,39,24,9,1
2022/1/8,203,crank,101503,1763,1,5,23,31,24,14,2
2022/1/9,204,gorge,91477,1913,1,3,13,27,30,22,4
2022/1/10,205,query,107134,2242,1,4,16,30,30,17,2
2022/1/11,206,drink,153880,3017,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901
2022/1/12,207,favor,137586,3073,1,4,15,26,29,21,4
2022/1/13,208,abbey,132726,3345,1.01010101,2.02020202,13.13131313,29.29292929,31.31313131,20.2020202,3.03030303
2022/1/14,209,tangy,169484,3985,1,4,21,30,24,15,5
2022/1/15,210,panic,205880,4655,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901
2022/1/16,211,solar,209609,4955,1,9,32,32,18,7,1
2022/1/17,212,shire,222197,5640,0.99009901,7.920792079,31.68316832,31.68316832,17.82178218,7.920792079,1.98019802
2022/1/18,213,proxy,220950,6206,0.99009901,1.98019802,10.89108911,23.76237624,30.69306931,25.74257426,5.940594059
2022/1/19,214,point,280622,7094,1.01010101,16.16161616,37.37373737,28.28282828,12.12121212,4.04040404,1.01010101
2022/1/20,215,robot,243964,6589,0.99009901,7.920792079,28.71287129,33.66336634,19.8019802,7.920792079,0.99009901
2022/1/21,216,prick,273727,7409,1.01010101,8.080808081,30.3030303,33.33333333,19.19191919,7.070707071,1.01010101
2022/1/22,217,wince,241489,6850,0.99009901,2.97029703,16.83168317,32.67326733,28.71287129,14.85148515,2.97029703
2022/1/23,218,crimp,269929,7630,1,5,28,38,20,7,1
2022/1/24,219,knoll,258038,8317,1,1,11,29,33,21,4
2022/1/25,220,sugar,276404,8708,1.01010101,6.060606061,25.25252525,34.34343434,23.23232323,9.090909091,1.01010101
2022/1/26,221,whack,302348,10163,1,4,22,37,24,10,2
2022/1/27,222,mount,331844,11451,1.01010101,9.090909091,29.29292929,33.33333333,19.19191919,7.070707071,1.01010101
2022/1/28,223,perky,296968,11148,1,4,17,30,27,17,4
2022/1/29,224,could,313220,11592,0.99009901,6.930693069,28.71287129,34.65346535,19.8019802,7.920792079,0.99009901
2022/1/30,225,wrung,294687,11524,0,2,18,39,27,12,2
2022/1/31,226,light,341314,13347,1.01010101,10.1010101,25.25252525,27.27272727,19.19191919,12.12121212,5.050505051
2022/2/1,227,those,351663,13606,1,13,34,30,15,6,1
2022/2/2,228,moist,361908,14205,2.97029703,12.87128713,31.68316832,28.71287129,15.84158416,6.930693069,0.99009901
2022/2/3,229,shard,358176,14609,0.99009901,6.930693069,21.78217822,27.72277228,24.75247525,13.86138614,3.96039604
2022/2/4,230,pleat,359679,14813,1,10,28,31,19,9,2
2022/2/5,231,aloft,319698,13708,0.99009901,3.96039604,21.78217822,35.64356436,24.75247525,10.89108911,1.98019802
2022/2/6,232,skill,311018,13716,1,3,17,33,27,16,3
2022/2/7,233,elder,288228,13340,1,3,13,24,30,24,5
2022/2/8,234,frame,336236,15369,1.01010101,10.1010101,20.2020202,24.24242424,24.24242424,17.17171717,3.03030303
2022/2/9,235,humor,305372,13846,1,5,22,34,25,11,2
2022/2/10,236,pause,304830,13480,1,8,26,32,21,10,2
2022/2/11,237,ulcer,278826,10631,1,4,18,30,28,16,3
2022/2/12,238,ultra,269885,9310,1,7,23,34,24,10,1
2022/2/13,239,robin,277471,3249,1,6,29,34,21,8,1
2022/2/14,240,cynic,261521,10343,1,6,25,33,22,11,2
2022/2/15,241,aroma,287836,10343,1,6,25,33,22,11,2
2022/2/16,242,caulk,289721,10740,1,4,20,31,26,15,3
2022/2/17,243,shake,342003,12767,1,6,16,23,24,21,9
2022/2/18,244,dodge,265238,10220,0.99009901,2.97029703,14.85148515,28.71287129,26.73267327,18.81188119,6.930693069
2022/2/19,245,swill,282327,11241,1,1,8,19,31,30,10
2022/2/20,246,tacit,273306,11094,0.99009901,3.96039604,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703
2022/2/21,247,other,278731,10887,1.01010101,9.090909091,26.26262626,30.3030303,21.21212121,10.1010101,2.02020202
2022/2/22,248,thorn,306356,11814,1.01010101,14.14141414,38.38383838,30.3030303,12.12121212,4.04040404,0
2022/2/23,249,trove,277576,11411,0.99009901,4.95049505,15.84158416,23.76237624,24.75247525,21.78217822,7.920792079
2022/2/24,250,bloke,250674,10405,1.01010101,6.060606061,21.21212121,32.32323232,25.25252525,12.12121212,2.02020202
2022/2/25,251,vivid,255907,11687,1,2,10,29,33,21,4
2022/2/26,252,spill,248363,10087,1,5,26,34,22,10,2
2022/2/27,253,chant,250413,10438,1,9,33,33,16,7,1
2022/2/28,254,choke,251094,10521,1,8,30,36,18,6,1
2022/3/1,255,rupee,240137,10577,1,2,17,35,30,13,2
2022/3/2,256,nasty,257304,10813,1.01010101,7.070707071,26.26262626,31.31313131,21.21212121,11.11111111,2.02020202
2022/3/3,257,mourn,240018,10465,1,8,29,34,19,8,1
2022/3/4,258,ahead,203730,9396,0.99009901,4.95049505,19.8019802,34.65346535,25.74257426,11.88118812,1.98019802
2022/3/5,259,brine,229895,10405,0.99009901,8.910891089,24.75247525,28.71287129,21.78217822,11.88118812,2.97029703
2022/3/6,260,cloth,218595,9911,0.99009901,7.920792079,32.67326733,33.66336634,16.83168317,6.930693069,0.99009901
2022/3/7,261,hoard,218595,9823,0.99009901,8.910891089,29.7029703,33.66336634,18.81188119,6.930693069,0.99009901
2022/3/8,262,sweet,207473,9767,1,5,18,31,28,15,2
2022/3/9,263,month,201799,9435,1,5,26,37,22,8,1
2022/3/10,264,lapse,208884,9960,0,8,31,34,19,7,1
2022/3/11,265,watch,226349,12400,1,6,14,18,17,24,20
2022/3/12,266,today,192049,9353,1,7,29,35,20,7,1
2022/3/13,267,focus,179436,8937,1.01010101,4.04040404,23.23232323,36.36363636,24.24242424,10.1010101,1.01010101
2022/3/14,268,smelt,185406,9373,0,5,19,33,28,13,2
2022/3/15,269,tease,202855,10024,0.980392157,15.68627451,31.37254902,29.41176471,15.68627451,5.882352941,0.980392157
2022/3/16,270,cater,217856,11234,0.99009901,6.930693069,18.81188119,21.78217822,18.81188119,17.82178218,14.85148515
2022/3/17,271,movie,169071,8847,1.01010101,5.050505051,18.18181818,30.3030303,26.26262626,16.16161616,3.03030303
2022/3/18,272,saute,179830,9304,1,8,31,34,19,6,1
2022/3/19,273,allow,156311,8515,0,4.95049505,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703
2022/3/20,274,renew,154987,8417,0,4.04040404,20.2020202,33.33333333,27.27272727,13.13131313,2.02020202
2022/3/21,275,their,173636,9200,2.02020202,14.14141414,36.36363636,30.3030303,13.13131313,4.04040404,0
2022/3/22,276,slosh,160161,8807,0,2.02020202,19.19191919,36.36363636,27.27272727,13.13131313,2.02020202
2022/3/23,277,purge,156785,8555,0.99009901,3.96039604,21.78217822,34.65346535,25.74257426,10.89108911,1.98019802
2022/3/24,278,chest,169066,9318,0.99009901,13.86138614,34.65346535,30.69306931,13.86138614,4.95049505,0.99009901
2022/3/25,279,depot,150197,8562,0,5.102040816,29.59183673,36.73469388,20.40816327,7.142857143,1.020408163
2022/3/26,280,epoxy,149507,9376,0,2,13,31,33,18,3
2022/3/27,281,nymph,165468,9935,0.793650794,1.587301587,14.28571429,34.92063492,20.63492063,20.63492063,7.142857143
2022/3/28,282,found,173696,10613,0.99009901,5.940594059,16.83168317,21.78217822,19.8019802,20.79207921,13.86138614
2022/3/29,283,shall,149070,8494,0,3.03030303,17.17171717,30.3030303,28.28282828,17.17171717,4.04040404
2022/3/30,284,stove,158139,9318,0,5.050505051,16.16161616,24.24242424,27.27272727,21.21212121,6.060606061
2022/3/31,285,lowly,135219,8469,0,1.98019802,8.910891089,25.74257426,31.68316832,23.76237624,7.920792079
2022/4/1,286,snout,144648,8913,1,4,19,27,26,18,5
2022/4/2,287,trope,155079,9315,1,16,33,28,15,6,1
2022/4/3,288,fewer,124532,7931,0,2,10,24,32,26,6
2022/4/4,289,shawl,129651,7943,0,3.03030303,16.16161616,31.31313131,30.3030303,16.16161616,3.03030303
2022/4/5,290,natal,121356,7702,0,2,14,32,32,17,3
2022/4/6,291,comma,117856,7560,0,1.98019802,12.87128713,32.67326733,32.67326733,16.83168317,2.97029703
2022/4/7,292,foray,117761,7575,0,1.98019802,13.86138614,30.69306931,30.69306931,18.81188119,3.96039604
2022/4/8,293,scare,141158,9010,1,12,23,26,21,13,4
